"ANF. RÉPTEIS (""B"")",,,,,
15:45-16:35,MOR0013,MOR0067,MOR0013,MOR0067,MOR0013
16:50-17:40,,,,,
17:40-18:30,,,,,
18:45-19:35,,MOR0068,MOR0036,MOR0068,
19:35-20:25,,MOR0068,MOR0036,MOR0068,
20:35-21:25,,,MOR0036,,MOR0036
21:25-22:15,,,MOR0036,,MOR0036
,,,,,
"ANF. ""B"" DMOR",,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,,,
8:55-9:45,MOR0048-1,,MOR0048-1,,
9:45-10:35,MOR0048-1,,MOR0048-1,,
10:50-11:40,MOR0014,MOR0014,MOR0014,,MOR0014
11:40-12:30,MOR0014,MOR0014,MOR0014,,MOR0014
13:00-13:50,MOR0004,,MOR0004,,
13:50-14:40,MOR0004,MOR0011,MOR0004,MOR0011,
14:55-15:45,,MOR0011,,MOR0011,
15:45-16:35,,MOR0011,,MOR0011,
16:50-17:40,,MOR0011,,MOR0011,
17:40-18:30,,,,,
18:45-19:35,MOR0069,MOR0014,MOR0069,MOR0014,MOR0069
19:35-20:25,MOR0069,MOR0014,MOR0069,MOR0014,MOR0069
20:35-21:25,MOR0014-2,MOR0048,MOR0014-2,MOR0048,
21:25-22:15,MOR0014-2,MOR0048,MOR0014-2,MOR0048,
,,,,,
,,,,,
SALA DOS EPTÉLIOS (ST1) - DMOR,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,MOR0099,MOR0099,MOR0099,MOR0099,MOR0099
8:55-9:45,MOR0099,MOR0099,MOR0099,MOR0099,MOR0099
9:45-10:35,MOR0099,MOR0099,MOR0099,MOR0099,
10:50-11:40,MOR0099,MOR0099,MOR0099,MOR0099,
11:40-12:30,,,,,
13:00-13:50,,MOR0086,,,
13:50-14:40,,MOR0086,,,MOR0025
14:55-15:45,MOR0058,DOL0046,MOR0058,DOL0046,MOR0025
15:45-16:35,MOR0058,DOL0046,MOR0058,DOL0046,MOR0025
16:50-17:40,,DOL0046,,DOL0046,MOR0025
17:40-18:30,,,,,
18:45-19:35,MOR0125,,MOR0125,,MOR0039
19:35-20:25,MOR0125,,MOR0125,,MOR0039
20:35-21:25,MOR0126,,MOR0126,,
21:25-22:15,MOR0126,,MOR0126,,
,,,,,
SALA DOS EMBRIÕES (ST2) - DMOR,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,,,MOR0092-1
8:55-9:45,MOR0066,,MOR0066,MOR0066,MOR0092-1
9:45-10:35,MOR0066,,MOR0066,MOR0066,MOR0092-1
10:50-11:40,MOR0045,MOR0054,MOR0045,MOR0054,
11:40-12:30,MOR0045,MOR0054,MOR0045,MOR0054,
13:00-13:50,,,,,MOR0092-2
13:50-14:40,,MOR0032,,,MOR0092-2
14:55-15:45,MOR0085,MOR0032,MOR0085,,MOR0092-2
15:45-16:35,MOR0085,MOR0032,MOR0085,,
16:50-17:40,,,,,
17:40-18:30,,,,,
18:45-19:35,DMP0048,,MOR0045,,DMP0048
19:35-20:25,DMP0048,,MOR0045,,DMP0048
20:35-21:25,MOR0054,,MOR0054,,MOR0045
21:25-22:15,MOR0054,,MOR0054,,MOR0045
,,,,,
SALA 2 - DFS,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,,,
8:55-9:45,DOL0100,DFS0020,DFS0020,DFS0020,
9:45-10:35,DOL0100,DFS0020,DFS0020,DFS0020,
10:50-11:40,DFS0006,DFS0058,DFS0006,DFS0058,DFS0006
11:40-12:30,DFS0006,DFS0058,DFS0006,DFS0058,DFS0006
13:00-13:50,DFS0065,,DFS0065,,DFS0065
13:50-14:40,DFS0065,,DFS0065,,DFS0065
14:55-15:45,,,,,
15:45-16:35,,,,,
16:50-17:40,DFS0003,DFS0105,DFS0003,DFS0105,DFS0003
17:40-18:30,DFS0003,DFS0105,DFS0003,DFS0105,DFS0003
18:45-19:35,DFS0054,DFS0062,DFS0054,DFS0062,DFS0054
19:35-20:25,DFS0054,DFS0062,DFS0054,DFS0062,DFS0054
20:35-21:25,DFS0020,,DFS0020,DFS0020,
21:25-22:15,DFS0020,,DFS0020,DFS0020,
,,,,,
SALA SAGUI - DFS,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,DOL0041,,
8:55-9:45,DOL0157,DFS0066,DOL0041,,
9:45-10:35,DOL0157,DFS0066,DOL0041,,
10:50-11:40,DOL0157,,DOL0041,,DFS0066
11:40-12:30,DOL0157,,,,DFS0066
13:00-13:50,,,,,
13:50-14:40,,,,,
14:55-15:45,DFS0039,,DFS0039,,DFS0039
15:45-16:35,DFS0039,,DFS0039,,DFS0039
16:50-17:40,DFS0110,DFS0062,DFS0110,DFS0062,DFS0110
17:40-18:30,DFS0110,DFS0062,DFS0110,DFS0062,DFS0110
18:45-19:35,DFS0006,,DFS0006,,DFS0006
19:35-20:25,DFS0006,,DFS0006,,DFS0006
20:35-21:25,,,,,
21:25-22:15,,,,,
,,,,,
,,,,,
ANF. BIOFÍSICA - DBF,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,DBF0005,,,,
7:50-8:40,DBF0005,,,,
8:55-9:45,DBF0041,,DBF0041,DBF0014,DBF0025
9:45-10:35,DBF0041,,DBF0041,DBF0014,DBF0025
10:50-11:40,DBF0214,DBF0019,DBF0214,,DBF0014
11:40-12:30,DBF0214,DBF0019,DBF0214,,DBF0014
13:00-13:50,,DBF0038,,,
13:50-14:40,,DBF0038,,,DBF0018
14:55-15:45,DBF0019,DBF0038,,,DBF0018
15:45-16:35,DBF0019,DBF0038,,,DBF0018
16:50-17:40,,,DBF0014,DBF0042,DBF0014
17:40-18:30,,,DBF0014,DBF0042,DBF0014
18:45-19:35,DBF0209,,DBF0209,DBF0042,DBF0209
19:35-20:25,DBF0209,,DBF0209,DBF0042,DBF0209
20:35-21:25,DBF0214,DBF0060,DBF0214,DBF0060,
21:25-22:15,DBF0214,DBF0060,DBF0214,DBF0060,
,,,,,
,,,,,
LAB. DE BIOFÍSICA - SALA DE AULAS TEÓRICAS - DBF,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,DBF0020,REUNIÃO,DBF0020,REUNIÃO,
7:50-8:40,DBF0020,REUNIÃO,DBF0020,REUNIÃO,
8:55-9:45,DBF0043,REUNIÃO,DBF0043,REUNIÃO,DBF0029
9:45-10:35,DBF0043,REUNIÃO,DBF0043,REUNIÃO,DBF0029
10:50-11:40,DBF0043,REUNIÃO,DBF0043,REUNIÃO,DBF0029
11:40-12:30,DBF0043,REUNIÃO,DBF0043,REUNIÃO,DBF0029
13:00-13:50,DBF0024,,DBF0024,,
13:50-14:40,DBF0024,DBF0046,DBF0024,DBF0207,DBF0017
14:55-15:45,,DBF0046,,DBF0207,DBF0017
15:45-16:35,,DBF0046,,DBF0207,DBF0017
16:50-17:40,,,,DBF0207,
17:40-18:30,,,,,
18:45-19:35,,,DBF0041,,DBF0041
19:35-20:25,,,DBF0041,,DBF0041
20:35-21:25,DBF0024,DBF0025,DBF0024,DBF0014,DBF0014
21:25-22:15,DBF0024,DBF0025,DBF0024,DBF0014,DBF0014
,,,,,
,,,,,
,,,,,
LABORATÓRIO DE FARMACOLOGIA - DBF,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,,,
8:55-9:45,,,,,DBF0036
9:45-10:35,,,,,DBF0036
10:50-11:40,,,,,DBF0036
11:40-12:30,,,,,
13:00-13:50,,,,,
13:50-14:40,,,,,
14:55-15:45,,,,,
15:45-16:35,,,,,
16:50-17:40,,,,,
17:40-18:30,,,,,
18:45-19:35,,,,,DBF0036
19:35-20:25,,,,,DBF0036
20:35-21:25,,,,,DBF0036
21:25-22:15,,,,,
,,,,,
,,,,,
,,,,,
SALA DO DNA (1D) - DBG,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,BEZ2006,,
8:55-9:45,PEC0303,,BEZ2006,ECL0034,DBG0087
9:45-10:35,PEC0303,,BEZ2006,ECL0034,DBG0087
10:50-11:40,PEC0303,,BEZ2006,ECL0034,DBG0087
11:40-12:30,PEC0303,,,ECL0034,
13:00-13:50,,ECL0006,,ECL0013,
13:50-14:40,,ECL0006,,ECL0013,
14:55-15:45,DBG0002,ECL0006,DBG0002,ECL0013,
15:45-16:35,DBG0002,ECL0006,DBG0002,ECL0013,
16:50-17:40,,,,,
17:40-18:30,,,,,
18:45-19:35,DBG0146,,,,
19:35-20:25,DBG0146,,,,
20:35-21:25,DBG0147,,DBG0147,,
21:25-22:15,DBG0147,,DBG0147,,
